,epoch,accuracy,mode
0,1,95.73,stochastic
1,2,96.53,stochastic
2,3,97.52,stochastic
3,4,97.68,stochastic
4,5,97.7,stochastic
5,6,97.66,stochastic
6,7,97.74,stochastic
7,8,97.66,stochastic
8,9,97.7,stochastic
9,10,97.62,stochastic
10,11,97.74,stochastic
11,12,97.7,stochastic
12,13,97.72,stochastic
13,14,97.75,stochastic
14,15,97.73,stochastic
15,16,97.75,stochastic
16,17,97.75,stochastic
17,18,97.74,stochastic
18,19,97.74,stochastic
19,20,97.73,stochastic
20,21,97.73,stochastic
21,22,97.74,stochastic
22,23,97.74,stochastic
23,24,97.74,stochastic
24,25,97.74,stochastic
25,26,97.74,stochastic
26,27,97.74,stochastic
27,28,97.74,stochastic
28,29,97.74,stochastic
29,30,97.74,stochastic
30,31,97.74,stochastic
31,32,97.74,stochastic
32,33,97.74,stochastic
33,34,97.74,stochastic
34,35,97.74,stochastic
35,36,97.74,stochastic
36,37,97.74,stochastic
37,38,97.74,stochastic
38,39,97.74,stochastic
39,40,97.74,stochastic
40,41,97.74,stochastic
41,42,97.74,stochastic
42,43,97.74,stochastic
43,44,97.74,stochastic
44,45,97.74,stochastic
45,46,97.74,stochastic
46,47,97.74,stochastic
47,48,97.74,stochastic
48,49,97.74,stochastic
49,50,97.74,stochastic
50,51,97.74,stochastic
51,52,97.74,stochastic
52,53,97.74,stochastic
53,54,97.74,stochastic
54,55,97.74,stochastic
55,56,97.74,stochastic
56,57,97.74,stochastic
57,58,97.74,stochastic
58,59,97.74,stochastic
59,60,97.74,stochastic
60,61,97.74,stochastic
61,62,97.74,stochastic
62,63,97.74,stochastic
63,64,97.74,stochastic
64,65,97.74,stochastic
65,66,97.74,stochastic
66,67,97.74,stochastic
67,68,97.74,stochastic
68,69,97.74,stochastic
69,70,97.74,stochastic
70,71,97.74,stochastic
71,72,97.74,stochastic
72,73,97.74,stochastic
73,74,97.74,stochastic
74,75,97.74,stochastic
75,76,97.74,stochastic
76,77,97.74,stochastic
77,78,97.74,stochastic
78,79,97.74,stochastic
79,80,97.74,stochastic
80,81,97.74,stochastic
81,82,97.74,stochastic
82,83,97.74,stochastic
83,84,97.74,stochastic
84,85,97.74,stochastic
85,86,97.74,stochastic
86,87,97.74,stochastic
87,88,97.74,stochastic
88,89,97.74,stochastic
89,90,97.74,stochastic
90,91,97.74,stochastic
91,92,97.74,stochastic
92,93,97.74,stochastic
93,94,97.74,stochastic
94,95,97.74,stochastic
95,96,97.74,stochastic
96,97,97.74,stochastic
97,98,97.74,stochastic
98,99,97.74,stochastic
99,100,97.74,stochastic
