,epoch,accuracy,mode
0,1,63.8,full
1,2,68.23,full
2,3,70.91,full
3,4,72.59,full
4,5,73.56,full
5,6,74.22,full
6,7,74.74,full
7,8,75.14,full
8,9,75.44,full
9,10,75.62,full
10,11,75.79,full
11,12,75.86,full
12,13,75.93,full
13,14,75.95,full
14,15,75.97,full
15,16,75.98,full
16,17,75.97,full
17,18,75.97,full
18,19,75.98,full
19,20,75.98,full
20,21,75.98,full
21,22,75.99,full
22,23,75.99,full
23,24,75.99,full
24,25,75.99,full
25,26,75.99,full
26,27,75.99,full
27,28,75.99,full
28,29,75.99,full
29,30,75.99,full
30,31,75.99,full
31,32,75.99,full
32,33,75.99,full
33,34,75.99,full
34,35,75.99,full
35,36,75.99,full
36,37,75.99,full
37,38,75.99,full
38,39,75.99,full
39,40,75.99,full
40,41,75.99,full
41,42,75.99,full
42,43,75.99,full
43,44,75.99,full
44,45,75.99,full
45,46,75.99,full
46,47,75.99,full
47,48,75.99,full
48,49,75.99,full
49,50,75.99,full
50,51,75.99,full
51,52,75.99,full
52,53,75.99,full
53,54,75.99,full
54,55,75.99,full
55,56,75.99,full
56,57,75.99,full
57,58,75.99,full
58,59,75.99,full
59,60,75.99,full
60,61,75.99,full
61,62,75.99,full
62,63,75.99,full
63,64,75.99,full
64,65,75.99,full
65,66,75.99,full
66,67,75.99,full
67,68,75.99,full
68,69,75.99,full
69,70,75.99,full
70,71,75.99,full
71,72,75.99,full
72,73,75.99,full
73,74,75.99,full
74,75,75.99,full
75,76,75.99,full
76,77,75.99,full
77,78,75.99,full
78,79,75.99,full
79,80,75.99,full
80,81,75.99,full
81,82,75.99,full
82,83,75.99,full
83,84,75.99,full
84,85,75.99,full
85,86,75.99,full
86,87,75.99,full
87,88,75.99,full
88,89,75.99,full
89,90,75.99,full
90,91,75.99,full
91,92,75.99,full
92,93,75.99,full
93,94,75.99,full
94,95,75.99,full
95,96,75.99,full
96,97,75.99,full
97,98,75.99,full
98,99,75.99,full
99,100,75.99,full
